Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
MAPK8IP3	16	1706183	1770317
HSD11B1L	19	5680604	5688523
GPRIN1	5	176595802	176610156
TPK1	7	144451941	144836395
IFI27L2	14	94127779	94130253
CDHR2	5	176542511	176595974
CNTNAP3	9	39072767	39288315
TCF7L2	10	112950247	113167678
HOXB4	17	48575507	48578350
ELOVL6	4	110045846	110199199
GABPB2	1	151070578	151125542
TMPRSS15	21	18269116	18485879
REXO5	16	20806429	20849668
HOXB6	17	48595751	48604992
FOXK2	17	82519713	82644662
SNX13	7	17790761	17940501
S100A7L2	1	153437058	153439949
SLX1A	16	30193887	30197561
S100A7	1	153457744	153460651
EGR4	2	73290929	73293705
MTURN	7	30134986	30162762
S100A6	1	153534599	153536244
REEP4	8	22138020	22141951
CAVIN3	11	6318946	6320532
ZDHHC9	X	129803288	129843909
NRG1	8	31639222	32855666
SPATA22	17	3440019	3513852
TRIM39-RPP21	6	30328907	30346854
TRIM39	6	30326479	30343729
GAB3	X	154675249	154751583
PGGT1B	5	115204012	115262877
POLR2C	16	57462660	57472009
NSF	17	46590669	46757464
TRIP6	7	100867387	100873454
ALMS1	2	73385758	73625166
STK19	CHR_HSCHR6_MHC_DBB_CTG1	31953357	31965001
ZNRF2	7	30284597	30367689
PPM1J	1	112709994	112715477
BTBD8	1	92080305	92184725
HOXB2	17	48540894	48544989
TTPAL	20	44475874	44494603
CKB	14	103519667	103522833
TMTC4	13	100603927	100675093
DARS	2	135905881	135986100
ALKAL1	8	52534037	52565430
SULT1A3	16	30199228	30204310
PRPF19	11	60890547	60906585
MOG	CHR_HSCHR6_MHC_SSTO_CTG1	29657481	29672869
LY75	2	159803355	159904756
ABRA	8	106759483	106770244
SMPD1	11	6390440	6394998
COMMD9	11	36269284	36289449
USP6NL	10	11453946	11611754
KPNA7	7	99173574	99207506
NOC3L	10	94333226	94362959
APLP2	11	130068147	130144811
S100A5	1	153537147	153541765
POLQ	3	121431427	121546641
GRASP	12	52006946	52015889
RPRM	2	153477338	153478762
FUBP1	1	77944055	77979110
S100A3	1	153547329	153549258
BOLA2B	16	30192934	30194306
CDIP1	16	4510669	4538828
HSD17B8	6	33204655	33206831
ARHGAP4	X	153907367	153934999
KCTD17	22	37051736	37063390
AFF3	2	99545419	100142739
S100A4	1	153543613	153550136
POLR2L	11	837356	842529
FAM114A1	4	38867677	38945739
DDB2	11	47214465	47239240
FGFR3	4	1793293	1808872
NME3	16	1770286	1771730
ERI2	16	20780193	20900349
PRPF6	20	63981132	64033100
NDE1	16	15643267	15726353
SLC44A3	1	94820342	94895246
ENPEP	4	110365733	110565285
ASPA	17	3472374	3503405
RPL14	3	40457292	40468587
LY75-CD302	2	159771851	159904710
CIART	1	150282543	150287093
ACD	16	67657512	67660815
DUX4	4	190173774	190185942
NUP50	22	45163925	45188017
GLI2	2	120735623	120992653
EBLN1	10	22208814	22210021
RPE65	1	68428822	68449954
LRCH1	13	46553168	46753040
TRPV6	7	142871208	142885745
GAD2	10	26216665	26304558
TRPV3	17	3510502	3557995
TLE3	15	70047790	70098176
SPINT2	19	38244035	38292615
KBTBD7	13	41189833	41194566
SHKBP1	19	40576853	40591399
MTRF1	13	41216369	41263577
KLRD1	12	10226058	10329608
HPGD	4	174490175	174523154
CTSW	11	65879837	65883741
JMY	5	79236131	79327211
TCEAL2	X	102125679	102140426
PNMA5	X	152988824	152994116
WDR45	X	49071470	49101170
RING1	6	33208500	33212722
TCEAL6	X	102140476	102142970
ATP8B4	15	49858238	50182817
MYH11	16	15703135	15857028
ASB12	X	64224194	64230607
ABCC2	10	99782640	99852594
FIBP	11	65883741	65888539
CLBA1	14	104985775	105010482
CARMIL2	16	67644988	67657569
CELSR2	1	109249539	109275751
CD302	2	159768628	159798255
UPF3A	13	114281601	114305817
CCHCR1	CHR_HSCHR6_MHC_COX_CTG1	31134989	31150760
TMEM45A	3	100492619	100577444
KIR3DL2	19	54850443	54867207
MARCH7	2	159712457	159771027
TRMT61A	14	103529196	103537073
PET100	19	7629737	7631956
C19orf33	19	38304164	38305006
GALNT13	2	153871922	154453979
RPP21	6	30345131	30346884
ZNF267	16	31873807	31917357
HLA-DQA1	CHR_HSCHR6_MHC_MCF_CTG1	32663658	32684403
CDCA4	14	105009573	105021148
ADGRG7	3	100609601	100695479
PYM1	12	55901413	55932618
PCP2	19	7631611	7633719
YIF1B	19	38303558	38317273
CES1	CHR_HSCHR16_1_CTG3_1	55799704	55830035
UTP14A	X	129906121	129929761
KIF27	9	83834099	83921465
TMEM156	4	38966744	39032922
DGKA	12	55927319	55954027
STXBP2	19	7636881	7647873
ZNF8	19	58278955	58302791
RBL2	16	53433977	53491648
PRR5L	11	36296288	36465204
HPCA	1	32885994	32898441
KIN	10	7750962	7787993
BEX5	X	102153708	102155977
HOMER1	5	79372636	79514217
ZNF544	19	58228594	58277495
ABCA12	2	214931542	215138626
TMEM132A	11	60924463	60937159
TMEM54	1	32894594	32901438
RCC1L	7	75027122	75074228
ZDHHC8	22	20129456	20148007
LONP1	19	5691834	5720572
DKC1	X	154762742	154777689
ULK2	17	19770829	19867936
NR4A1	12	52022832	52059507
LRRTM2	5	138868921	138875368
GDF5	20	35433347	35454746
KIF1BP	10	68988721	69043544
SLC15A3	11	60937084	60952530
CTNNA1	5	138610967	138935034
GDF5OS	20	35433029	35435450
PARP8	5	50665899	50846519
SLC27A2	15	50182196	50236385
WFS1	4	6269849	6303265
CNTNAP2	7	146116002	148420998
GKAP1	9	83739425	83829516
TFAP2E	1	35573314	35595328
TK2	16	66508003	66552544
ANKH	5	14704800	14871778
ANGPT1	8	107249482	107498055
RPA3	7	7636518	7718607
C4orf17	4	99511012	99542303
TMEM109	11	60914158	60923443
GPANK1	CHR_HSCHR6_MHC_COX_CTG1	31648638	31653693
APOPT1	14	103562962	103607523
AKTIP	16	53491040	53504411
BCL2L11	2	111119378	111168445
SMIM20	4	25861830	25929874
PPP4R4	14	94146128	94279734
SNCB	5	176620082	176630556
WNT3	17	46762506	46833154
DENND5B	12	31382226	31591136
EPN2	17	19215615	19336715
SEL1L3	4	25747433	25863760
GLCCI1	7	7968796	8094272
ERVK3-1	19	58305319	58315663
S100G	X	16650158	16654670
EPM2AIP1	3	36985043	36993168
CTPS2	X	16587999	16712936
ATP12A	13	24680411	24712493
BMP4	14	53949736	53958761
WDYHV1	8	123416725	123470028
OR2H2	CHR_HSCHR6_MHC_MANN_CTG1	29587046	29588629
RASGRP3	2	33436324	33564750
GABBR1	CHR_HSCHR6_MHC_MANN_CTG1	29555178	29632716
CCHCR1	CHR_HSCHR6_MHC_DBB_CTG1	31136168	31151940
FITM1	14	24131275	24132849
UMAD1	7	7640711	7968020
AVPR2	X	153902531	153907166
NRL	14	24080107	24115014
BAG5	14	103556544	103562831
GTF2IRD2B	7	75092396	75149817
PSMB2	1	35599541	35641526
SEZ6L	22	26169462	26383597
RPS27	1	153990755	153992155
XRCC3	14	103697609	103715504
L2HGDH	14	50237563	50312229
GLB1L3	11	134274245	134319564
CCDC188	22	20148427	20151065
NAA10	X	153929225	153935080
DCAF11	14	24114195	24125242
LY6G5B	CHR_HSCHR6_MHC_COX_CTG1	31656528	31660956
KIF21B	1	200969390	201023700
VARS	CHR_HSCHR6_MHC_SSTO_CTG1	31768274	31785735
BPY2C	Y	25030901	25062548
PLA2R1	2	159932006	160062615
CSNK2B	CHR_HSCHR6_MHC_COX_CTG1	31652646	31660956
GRIK2	6	101181257	102070083
ST7	7	116953238	117230103
CHRFAM7A	15	30357766	30393849
S100A2	1	153561108	153567890
DUSP1	5	172768096	172771195
POLDIP3	22	42583721	42614962
ACTL6A	3	179562886	179588407
MTMR8	X	64268081	64395452
CEP295NL	17	78870910	78903217
MROH6	8	143566192	143572772
ACOXL	2	110732573	111118222
S100A16	1	153606886	153613145
GNG11	7	93921699	93928610
PORCN	X	48508962	48520814
WNT9B	17	46833201	46886730
TIMP2	17	78852977	78925387
KLHL1	13	69700594	70108493
EIF4E1B	5	176630618	176646644
TRPV5	7	142908101	142933808
SH2D6	2	85418931	85437029
SAP30L	5	154445997	154461053
PPP1R14A	19	38251237	38256532
TMEM247	2	46479565	46484425
MCCC2	CHR_HSCHR5_2_CTG1_1	70802600	70819771
SERINC3	20	44496221	44522085
ACOT7	1	6264269	6394391
ENTPD2	9	137048107	137054061
TGIF1	18	3411608	3459978
AEBP1	7	44104345	44114562
REP15	12	27696519	27697596
NUP210L	1	153992685	154155116
KLHL17	1	960584	965719
ARPC1B	7	99374249	99394816
KLC1	14	103561896	103714249
KCNJ3	2	154697855	154858354
PLD1	3	171600404	171810950
RTN4R	22	20241415	20283246
TFG	3	100709331	100748964
MRPS35	12	27710822	27756295
MOCOS	18	36187497	36272157
S100A14	1	153614255	153616986
OR6Q1	11	58030930	58031931
OR9Q1	11	58023881	58181616
OR9I1	11	58116742	58125530
TSEN34	CHR_HSCHR19LRC_PGF1_CTG3_1	54190535	54195132
PARN	16	14435700	14632728
BET1	7	93962762	94004382
ECHDC3	10	11742366	11764070
LLCFC1	7	142939343	142940865
ANAPC1	2	111611639	111884690
C1orf146	1	92217915	92245813
CNTLN	9	17134982	17503923
L1CAM	X	153861514	153886174
CHTOP	1	153633982	153646306
ASB4	7	95478444	95540233
ERI3	1	44221070	44355260
LETM1	4	1811479	1856156
MDC1	CHR_HSCHR6_MHC_DBB_CTG1	30690066	30708147
FAM81A	15	59372693	59523555
C20orf204	20	64034344	64039962
MANSC4	12	27762738	27771276
PERM1	1	975204	982093
GLRA3	4	174636920	174829247
PLEKHN1	1	966497	975865
GPR132	14	105049395	105065445
SLC12A3	16	56865207	56915850
DESI1	22	41598028	41621043
CHCHD4	3	14112077	14124870
DIP2C	10	274190	689668
DGCR6L	22	20314276	20320080
BEAN1	16	66427295	66493529
SPG7	16	89490719	89557768
CCNB2	15	59105126	59125045
ODF4	17	8339864	8346048
ZC4H2	X	64915802	65034713
SERPINA10	14	94280460	94293268
ZNF620	3	40477131	40518736
NECAB1	8	90791741	90959393
FBXL7	5	15500180	15939795
MRPL47	3	179588285	179604654
S100A13	1	153618787	153631360
TCP11X1	X	102215301	102229532
TMPRSS6	22	37065436	37109713
MSR1	8	16107878	16567490
SOX18	20	64047582	64049639
ZNF619	3	40477113	40490236
GOLGA8R	15	30403740	30414162
S100A1	1	153627926	153632039
TMEM64	8	90621995	90791632
ATP5MF-PTCD1	7	99419749	99466197
SERPINA6	14	94304248	94323389
MYO1E	15	59132434	59372900
PRR26	10	649948	669581
PROSER2	10	11823339	11872277
NXF2	X	102247161	102326719
CDHR3	7	105876796	106036432
ATP10B	5	160563120	160852214
CRIPT	2	46616416	46625742
C8orf88	8	90958471	90985238
CFB	6	31945650	31952084
HTR4	5	148451032	148677235
PDAP1	7	99392048	99408597
RHOQ	2	46541806	46584688
USP41	22	20350578	20390758
COL1A2	7	94394561	94431232
ZPLD1	3	102099244	102479841
ADAM29	4	174829668	174978180
HLA-DQB1	CHR_HSCHR6_MHC_MCF_CTG1	32690241	32699289
CDT1	16	88803789	88809258
CPSF4	7	99438922	99457373
C1orf216	1	35713877	35718894
MARCH11	5	16067139	16180762
LONRF2	2	100273291	100322733
TMC1	9	72521608	72838291
PIGF	2	46580937	46617119
CEP250	20	35455164	35519280
FCAR	19	54874235	54891420
TRPS1	8	115408496	115809673
WDR44	X	118346073	118449961
HES4	1	998962	1000172
CD96	3	111292719	111665750
LDHAL6B	15	59206823	59208515
EEF1D	8	143579697	143599541
KLHL42	12	27780048	27803040
PCK2	14	24094053	24110598
KEL	7	142941114	142962363
PNMA3	X	153056409	153060467
TM2D3	15	101621444	101652391
IRF7	11	612553	615999
HTRA3	4	8269754	8307098
MRPS21	1	150293720	150308979
PDK4	7	95583499	95596516
ATP6V1E2	2	46490750	46542577
TCP11X2	X	102456862	102471842
PNMA6A	X	153072482	153075018
FUT8	14	65410592	65744121
MAGEA1	X	153179284	153183880
ATP5MF	7	99448475	99466331
APBB1IP	10	26438341	26567803
NXF2B	X	102360396	102439932
TARM1	19	54069895	54081365
PNMA6F	X	153317681	153321822
ZNF275	X	153334147	153360110
ACAP2	3	195274745	195443044
ZBTB12	6	31899607	31901992
R3HDM4	19	896503	913245
SENP6	6	75601509	75718281
DNMT3A	2	25227855	25342590
EBPL	13	49660674	49691486
RNF103-CHMP3	2	86505668	86721122
NPIPB13	16	30222937	30254510
MPP1	X	154778684	154821007
AFG1L	6	108294894	108526796
CEL	9	133061978	133071861
RMND5A	2	86720291	86778041
PSRC1	1	109279556	109283186
PTCD1	7	99416739	99466163
KLHL5	4	39045039	39126857
ZBED2	3	111592900	111595346
C2	6	31897785	31945672
CNTNAP4	16	76277278	76560757
TRAF6	11	36483769	36510272
RPS18	6	33272075	33276511
PPP2R2C	4	6320578	6563600
SERPINA1	14	94376747	94390693
TRIM51GP	11	48975324	48983826
SYPL1	7	106090503	106112576
CHMP3	2	86503430	86563479
BUD31	7	99408641	99419616
EPC2	2	148644440	148787569
RAG2	11	36575574	36598279
SLC35C1	11	45804072	45813015
UBD	CHR_HSCHR6_MHC_MANN_CTG1	29555178	29559492
C11orf74	11	36594493	36659290
KPNA3	13	49699320	49792682
RNF103	2	86603398	86623866
SARDH	9	133663560	133739955
VPS52	6	33250272	33272047
RNF19B	1	32936445	32964685
PARD6A	16	67660946	67662778
SYAP1	X	16719612	16765340
TPO	CHR_HSCHR2_4_CTG1	1372594	1540021
RPS9	CHR_HSCHR19LRC_PGF1_CTG3_1	54201424	54249604
CACNA1S	1	201039512	201112451
ARPC1A	7	99325898	99366262
VGLL3	3	86876388	86991149
PLPPR2	19	11355386	11365698
CDON	11	125955796	126063335
CYB5R3	22	42617840	42649392
FAM19A3	1	112720419	112727235
SRRT	7	100875103	100888664
AKR1C4	10	5195462	5218949
PTHLH	12	27958084	27972705
TRIM24	7	138460259	138589996
PDE4D	5	58969038	60522120
ENKD1	16	67662945	67667265
OR9A2	7	143026158	143027195
OR6V1	7	143052320	143053347
DEF6	6	35297818	35321771
RAG1	11	36510709	36593156
GLB1L2	11	134331874	134378341
APRT	16	88809339	88811944
HAND1	5	154474972	154478227
LILRA6	CHR_HSCHR19LRC_PGF1_CTG3_1	54239108	54243457
CDKL1	14	50329404	50416461
C16orf86	16	67666814	67668757
FBXO32	8	123497889	123541206
SH3BP5	3	15254353	15341368
TCF21	6	133889138	133895553
ARHGAP33	19	35774532	35788822
CYFIP2	5	157266079	157395595
ADGRA2	8	37784191	37844896
RPAP2	1	92299059	92402056
TCEA2	20	64049836	64072347
NAMPT	7	106248298	106286326
TRMT10A	4	99546709	99564039
EYA4	6	133240598	133532128
DMAC2L	14	50312326	50335558
PIP	7	143132077	143139739
ETFBKMT	12	31647160	31673114
VSIG10L2	11	125946056	125958647
NR4A2	2	156324437	156342348
ATP13A1	19	19645198	19663676
MAPKAPK5	12	111842228	111902222
FARSA	19	12922479	12934037
PNMA6E	X	153395640	153401420
NIPSNAP3A	9	104747683	104760120
CXCR4	2	136114349	136118165
SYDE2	1	85156889	85201016
GLMN	1	92246402	92298987
CDH13	16	82626965	83800640
HKR1	19	37312837	37369365
ZFP92	X	153418322	153426481
AMN1	12	31671142	31729121
TUBB	CHR_HSCHR6_MHC_DBB_CTG1	30710458	30715683
ATP5MGL	22	42639803	42640601
SLX4	16	3581181	3611606
CHAMP1	13	114314482	114337626
BAG6	CHR_HSCHR6_MHC_QBL_CTG1	31629248	31642931
AKAP10	17	19904302	19978343
BRF2	8	37843268	37849904
ZC3H12B	X	65366638	65507887
OR10H4	19	15944299	15950350
PRPF3	1	150321479	150353233
LILRB3	CHR_HSCHR19LRC_PGF1_CTG3_1	54217293	54223789
SYNJ2	6	157981863	158099176
NOD1	7	30424527	30478784
NIPSNAP3B	9	104764129	104777764
SLC16A1	1	112911847	112957013
C1orf52	1	85249953	85259672
MTTP	4	99563761	99623999
SCARA5	8	27869883	27992673
BCL6B	17	7023020	7030290
SDR16C5	8	56300010	56320776
ETNK1	12	22625075	22690665
AK2	1	33007940	33080996
HMGCS2	1	119747996	119768905
NMRK2	19	3933103	3942416
LGI3	8	22146830	22157084
GFOD2	16	67674531	67719339
SWSAP1	19	11374685	11376951
TENT2	5	79612120	79686648
ASCL5	1	201113953	201127184
GBA	CHR_HSCHR1_2_CTG31	155249852	155260266
SPACA3	17	32970376	32997877
C18orf25	18	46173553	46266992
JAG1	20	10637684	10673999
TMEM9	1	201134772	201171574
CCDC71L	7	106654360	106661158
MRGPRX1	11	18933813	18939507
TFCP2L1	2	121216587	121285202
BCL10	1	85265776	85276904
NFIL3	9	91409045	91423832
TFF3	21	42311667	42315651
B3GAT1	11	134378504	134412242
CRY2	11	45847118	45883248
IER3	CHR_HSCHR6_MHC_MANN_CTG1	30787857	30789212
SLC44A4	CHR_HSCHR6_MHC_COX_CTG1	31850729	31866590
ZNF79	9	127424374	127445372
DOCK11	X	118495898	118686163
TCTN3	10	95663396	95694143
HELLS	10	94501434	94613905
KIF5C	2	148875227	149026759
SFTPC	8	22156913	22164479
ATG101	12	52069246	52077494
RNF5	CHR_HSCHR6_MHC_QBL_CTG1	32135962	32138401
PIF1	15	64815632	64825668
TRIM49B	11	49027501	49038451
DDAH1	1	85318481	85578363
TAS2R39	7	143183419	143184435
HLA-DMA	CHR_HSCHR6_MHC_DBB_CTG1	32926550	32931062
MRGPRX2	11	19054455	19060681
BGN	X	153494980	153509546
TAS2R40	7	143222037	143223079
TRIM64C	11	49053714	49059112
SMIM9	X	154823348	154834662
RGL3	19	11384341	11419342
PENK	8	56436674	56446671
FAH	15	80152490	80186946
DYNC1I1	7	95772506	96110322
H3F3C	12	31791185	31792298
SMIM41	12	52079696	52108239
SNAPIN	1	153658654	153661830
LGALS3BP	17	78971238	78979947
REG4	1	119794017	119811580
PTH2	19	49422414	49423441
HLA-DMB	CHR_HSCHR6_MHC_DBB_CTG1	32912565	32931062
ILF2	1	153661788	153671028
HAUS7	X	153447666	153495516
ZNF621	3	40524878	40574685
TSPAN17	5	176647387	176659054
POLE4	2	74958492	74970128
ZIC4	3	147386046	147406860
CDIP1	CHR_HSCHR16_3_CTG1	4512634	4526261
TBC1D25	X	48539714	48562609
NUDT14	14	105172938	105181323
TEKT4	2	94871430	94876823
TG	8	132866958	133134903
SEMA6C	1	151131685	151146664
SENP2	3	185582496	185633551
PPME1	11	74171267	74254703
CAPN11	6	44158811	44184401
CNN3	1	94896949	94927223
WDR70	5	37379212	37753435
EBP	X	48521799	48528716
CHMP2B	3	87227271	87255556
NR1H3	11	47248300	47269033
RTL1	14	100879753	100903722
KRT80	12	52168996	52192014
PHF8	X	53936676	54048958
RPS23	5	82273320	82278396
JAG2	14	105140982	105168824
RESF1	12	31959370	31993107
NBEAL2	3	46979683	47009704
N6AMT1	21	28872191	28885371
NEU1	CHR_HSCHR6_MHC_SSTO_CTG1	31850351	31855624
ODF3	11	196738	200261
FOXO3	6	108559835	108684774
TMSB15A	X	102513682	102516739
CYTH1	17	78674048	78782297
KLRC4-KLRK1	12	10372353	10410146
ZNF622	5	16451519	16465800
PLCB1	20	8077251	8968360
EPOR	19	11377207	11384342
MYBPHL	1	109292365	109307011
SLC16A13	17	7036075	7040121
ATG10	5	81972023	82276857
TREX2	X	153444720	153470587
TRAPPC2L	16	88856220	88862686
VARS	CHR_HSCHR6_MHC_QBL_CTG1	31781844	31786187
SLC16A11	17	7041630	7043923
BCORL1	X	129981107	130058083
SLC15A1	13	98683801	98752672
SCGB1C1	11	193080	194573
ALG14	1	94974405	95072951
ZIC1	3	147393422	147510293
BET1L	11	167784	207428
GPM6A	4	175632934	176002664
CHST10	2	100391860	100417668
ZNF74	22	20394115	20408461
P4HA3	11	74235801	74311640
IL3RA	X	1336616	1382689
TFF2	21	42346357	42350997
GFY	19	49423749	49428818
TMEM56	1	95117355	95197607
LENG1	19	54155161	54159882
RPL11	1	23691742	23696835
PLCB2	15	40278176	40307935
ASIC2	17	33013087	34174964
PUF60	8	143816344	143829859
CNOT3	19	54137749	54155681
ADAM30	1	119893533	119896495
KIAA0930	22	45190338	45240769
RPL12	9	127447674	127451406
SMIM18	8	30638600	30646064
ELF4	X	130064874	130110716
LRIG2	1	113073198	113132260
TMEM56-RWDD3	1	95117923	95247225
THSD7B	2	136765545	137677718
GTF2E2	8	30578318	30658236
TNFSF12-TNFSF13	17	7549099	7561601
RWDD3	1	95234210	95247225
QTRT1	19	10701430	10713437
GALNS	16	88813734	88856970
NR2F2	15	96325938	96340263
G3BP2	4	75642782	75724525
TNFSF12	17	7549058	7557890
GOLGA8Q	15	30552078	30562501
HNMT	2	137964020	138016364
TMEM116	12	111931282	112013185
A4GALT	22	42692121	42721298
HLA-DQA2	CHR_HSCHR6_MHC_MCF_CTG1	32775123	32780991
CYP1B1	2	38066973	38109902
NALCN	13	101053776	101416508
SLA	8	133036728	133102912
RANBP10	16	67723070	67806652
PROP1	CHR_HSCHR5_2_CTG5	177996182	177996994
BICD1	12	32106835	32383633
TFF1	21	42362282	42366535
MAT2A	2	85539168	85545281
C2CD3	11	74012714	74171210
CLASP1	2	121337776	121649587
TNFSF13	17	7558292	7561608
TFAP2A	6	10393186	10419659
NUGGC	8	28021964	28083936
OSCAR	19	54094668	54102692
CCDC12	3	46921726	46982010
RMDN2	2	37923187	38067142
TOPAZ1	3	44241886	44332098
SERF1A	5	70900665	70918530
ABCA1	9	104781006	104928155
C17orf78	CHR_HSCHR17_7_CTG4	37377461	37394195
CMYA5	5	79689836	79800240
PPARD	6	35342558	35428191
BHLHB9	X	102720688	102753540
MAL	2	95025677	95053992
ADAMTS18	16	77247813	77435034
KIAA1328	18	36829106	37232172
H1F0	22	37805093	37807436
GGCX	2	85544720	85561547
ACACA	CHR_HSCHR17_7_CTG4	37086456	37411442
SPATA31A1	9	39355669	39361959
XRCC6	22	41621119	41664048
GSTK1	7	143244093	143270854
EIF3H	8	116642130	116766925
ROR2	9	91563091	91950228
GPRASP1	X	102651092	102659083
GCAT	22	37807905	37817176
GPRASP2	X	102712176	102717733
PHKA1	X	72578814	72714319
ADAM19	5	157395534	157575775
PIK3CG	7	106865278	106908980
MON1B	16	77190835	77202405
HERC5	4	88457119	88506163
ARMCX5	X	102599168	102604159
FHOD3	18	36297714	36780055
PAX5	9	36833269	37034268
POM121C	7	75416786	75486299
RAD21	8	116845935	116874866
CALR	19	12938578	12944489
SPRYD7	13	49912702	49936490
C16orf96	16	4556490	4600714
PRAG1	8	8317736	8386498
NMS	2	100470482	100483280
TCAIM	3	44338119	44409451
ZMIZ1	10	79068966	79316528
ACP2	11	47239302	47248840
STRAP	12	15882387	15903478
SLC25A6	X	1386152	1392113
TBC1D12	10	94402504	94535930
ELOA	1	23743155	23762059
SYCE1L	16	77199397	77213215
CLDN23	8	8701938	8704106
KLRC4	12	10407382	10409757
SORT1	1	109309568	109397918
DAPK3	19	3958453	3971123
ZFP57	CHR_HSCHR6_MHC_SSTO_CTG1	29672889	29681605
SKA1	18	50375040	50394168
ATIC	2	215311956	215349773
PRKAR2B	7	107044705	107161811
KLRK1	12	10372353	10391874
TMEM212	3	171843349	171938715
PODXL	7	131500262	131558217
GALR3	22	37823382	37825495
SLC17A7	19	49429401	49442360
SVOPL	7	138594285	138701352
NT5C3A	7	33014113	33062797
C20orf173	20	35523186	35529652
PRPS1L1	7	18026770	18027846
TRIM73	7	75395063	75410996
TFPT	19	54107013	54115675
FNDC9	5	157341598	157345677
RPL26	17	8377516	8383250
ADA	20	44619522	44652233
POTEC	18	14507339	14543585
UBALD1	16	4608883	4615027
MAGI3	1	113390515	113685923
NIPAL4	5	157460019	157474717
DNAJB4	1	77979175	78017964
CACNA2D1	7	81946444	82443777
LAS1L	X	65512582	65534775
ANKRD63	15	40281444	40282586
HSD17B4	5	119452443	119637199
ADAM2	8	39743735	39838289
TMEM139	7	143279957	143288048
CD2BP2	16	30350773	30355308
GIPC2	1	77979542	78138444
RNF17	13	24764169	24879921
CCDC14	3	123897305	123961408
ASF1A	6	118894152	118909171
HLA-DOA	CHR_HSCHR6_MHC_QBL_CTG1	32932859	32938293
ASPHD2	22	26429260	26445015
TACR1	2	75046463	75199520
RPS2	16	1962058	1964841
MAN1A1	6	119177205	119349761
RPRD2	1	150363091	150476566
CDKN3	14	54396849	54420218
PYCR3	8	143603210	143609773
HPS4	22	26443423	26483837
PRPF31	19	54115410	54131719
TRAP1	16	3651639	3717553
HSBP1	16	83807843	83819737
ST14	11	130159782	130210362
SERPINA11	14	94442464	94452800
NXPH4	12	57216794	57226449
CCDC102A	16	57512181	57536571
ISG15	1	1001138	1014540
PDCL3	2	100562993	100576739
SERPINA9	14	94462717	94479689
CFAP69	7	90245174	90311063
TRIB1	8	125430358	125438403
MCM9	6	118813442	118935162
UFSP1	7	100888721	100889715
PKIG	20	44531785	44624247
NAPRT	8	143574785	143578649
LYPD6B	2	149038107	149215262
ZNF514	2	95145000	95165413
ACHE	7	100889994	100896974
TPGS2	18	36777647	36829216
KRBA2	17	8356902	8376711
TNFRSF13B	17	16929816	16972118
NDUFA4L2	12	57234903	57240715
MRPS5	2	95085369	95149434
HLA-DPA1	CHR_HSCHR6_MHC_COX_CTG1	32986539	33002744
UTP23	8	116766505	116849463
FAM184A	6	118959763	119149387
SPOPL	2	138501801	138573547
TBC1D10B	16	30357102	30370494
NPEPPS	17	47522942	47623276
HLA-DPB1	CHR_HSCHR6_MHC_COX_CTG1	32997896	33009106
BCDIN3D	12	49836043	49843106
MKI67	10	128096659	128126423
SHMT2	12	57229573	57234935
NCKAP5L	12	49791146	49828750
POU1F1	3	87259404	87276587
CCDC91	12	28133249	28581511
TCF19	CHR_HSCHR6_MHC_DBB_CTG1	31152269	31157938
KLHL38	8	123645527	123652950
NOTCH2	1	119911553	120100779
NXPH2	2	138669157	138780390
SRGN	10	69088103	69104805
CCN1	1	85580761	85583950
IGFN1	1	201190825	201228952
ATP5F1C	10	7788147	7807815
L1TD1	1	62194849	62212328
PRAF2	X	49071161	49074002
PLXNA4	7	132123332	132648688
TNFAIP8L2	1	151156649	151159749
PPFIA3	19	49119544	49151026
TMOD4	1	151169986	151176284
LSM2	CHR_HSCHR6_MHC_QBL_CTG1	31787629	31797209
RNF165	18	46326809	46463140
